企业名称,组织机构代码,资质证书,发证单位
深圳华强广场控股有限公司,61892679-6,深房开字(2014)293号,深圳市规划和国土资源委员会
深圳市新安上合股份合作公司,19247691-8,深房开字(2014)294号,深圳市规划和国土资源委员会
深圳市新世界投资有限公司,72715444-9,深房开字(2014)295号,深圳市规划和国土资源委员会
深圳市联泰房地产开发有限公司,279430947,深房开字(2014)296号,深圳市规划和国土资源委员会
深圳市惠明盛房地产投资开发有限公司,72471483-4,深房开字(2014)297号,深圳市规划和国土资源委员会
深圳金光华实业集团有限公司,192356131,深房开字(2014)298号,深圳市规划和国土资源委员会
深圳市众冠股份有限公司,192410919,深房开字(2014)299号,深圳市规划和国土资源委员会
深圳市金地北城房地产开发有限公司,69558679-9,深房开字(2014)300号,深圳市规划和国土资源委员会
深圳玮鹏实业有限公司,618895328,深房开字(2014)301号,深圳市规划和国土资源委员会
中国南山开发（集团）股份有限公司,618832976,深房开字(2014)302号,深圳市规划和国土资源委员会
深圳市金地旧城改造开发有限公司,774143101,深房开字(2014)303号,深圳市规划和国土资源委员会
深圳新亚洲实业发展有限公司,618912394,深房开字(2014)304号,深圳市规划和国土资源委员会
深圳市奥康德投资开发有限公司,192172885,深房开字(2014)305号,深圳市规划和国土资源委员会
深圳市安业置业发展有限公司,778757979,深房开字(2014)306号,深圳市规划和国土资源委员会
深圳九矿企业机械地盘工程公司,61881716X,深房开字(2014)307号,深圳市规划和国土资源委员会
深圳融发投资有限公司,618867239,深房开字(2014)308号,深圳市规划和国土资源委员会
中国广东核电集团有限公司,10001694-X,深房开字(2014)309号,深圳市规划和国土资源委员会
深圳市国贸汽车实业有限公司,19217731-X,深房开字(2014)310号,深圳市规划和国土资源委员会
深圳市中航城投资有限公司,27934084-5,深房开字(2014)311号,深圳市规划和国土资源委员会
深圳市宏明国际地产开发有限公司,618802814,深房开字(2014)312号,深圳市规划和国土资源委员会
深圳市福田环庆实业股份有限公司,192360026,深房开字(2014)313号,深圳市规划和国土资源委员会
深圳市富源房地产开发有限公司,19240798X,深房开字(2014)314号,深圳市规划和国土资源委员会
深圳卓越酒店管理有限公司,78657985-0,深房开字(2014)315号,深圳市规划和国土资源委员会
深圳市海岸房地产开发有限公司,192484416,深房开字(2014)316号,深圳市规划和国土资源委员会
深圳市德基房地产开发有限公司,79046439-4,深房开字(2014)317号,深圳市规划和国土资源委员会
深圳冠懋房地产集团有限公司,70843916-6,深房开字(2014)318号,深圳市规划和国土资源委员会
深圳市巨银诚信投资发展有限公司,71527984-2,深房开字(2014)319号,深圳市规划和国土资源委员会
深圳市宝嘉新投资有限公司,279276150,深房开字(2014)320号,深圳市规划和国土资源委员会
深圳市森之润投资发展有限公司,74324324-9,深房开字(2014)321号,深圳市规划和国土资源委员会
深圳市宏达同实业有限公司,27927368-9,深房开字(2014)322号,深圳市规划和国土资源委员会
深圳市万悦房地产开发有限公司,19247988-7,深房开字(2014)323号,深圳市规划和国土资源委员会
深圳市雪霖集团有限公司,71526273-3,深房开字(2014)324号,深圳市规划和国土资源委员会
深圳市嘉晨房地产投资有限公司,74889364-6,深房开字(2014)325号,深圳市规划和国土资源委员会
深圳市金利居房地产开发有限公司,19235064-5,深房开字(2014)326号,深圳市规划和国土资源委员会
深圳市南油开发建设有限公司,61888037X,深房开字(2014)327号,深圳市规划和国土资源委员会
深圳市新洲实业股份有限公司,192360165,深房开字(2014)328号,深圳市规划和国土资源委员会
深圳市聚龙湾投资发展有限公司,74885706-3,深房开字(2014)329号,深圳市规划和国土资源委员会
深圳市禾田居投资有限公司,715262012,深房开字(2014)330号,深圳市规划和国土资源委员会
中海信科技开发（深圳）有限公司,73112719-5,深房开字(2014)331号,深圳市规划和国土资源委员会
深圳市深港数码科技有限公司,72986669-3,深房开字(2014)332号,深圳市规划和国土资源委员会
深圳市汇港城投资有限公司,70844257-6,深房开字(2014)333号,深圳市规划和国土资源委员会
深圳西京实业发展有限公司,618926841,深房开字(2014)334号,深圳市规划和国土资源委员会
深圳市诚略实业发展有限公司,73111061-7,深房开字(2014)335号,深圳市规划和国土资源委员会
深圳市合成隆实业开发有限公司,19241032-9,深房开字(2014)336号,深圳市规划和国土资源委员会
深圳市水围实业股份有限公司,192181677,深房开字(2014)337号,深圳市规划和国土资源委员会
深圳市龙华经济发展有限公司,19247573-9,深房开字(2014)338号,深圳市规划和国土资源委员会
深圳信和（集团）有限公司,618883837,深房开字(2014)339号,深圳市规划和国土资源委员会
深圳市深沙保（集团）有限公司,715270717,深房开字(2014)340号,深圳市规划和国土资源委员会
深圳市发中实业有限公司,279581884,深房开字(2014)341号,深圳市规划和国土资源委员会
广东恒丰投资集团有限公司,61743734-1,深房开字(2014)342号,深圳市规划和国土资源委员会
商凯集团（深圳）有限公司,618847983,深房开字(2014)343号,深圳市规划和国土资源委员会
深圳世纪星源物业发展有限公司,618851026,深房开字(2014)344号,深圳市规划和国土资源委员会
深圳市仁贵投资发展有限公司,74887279X,深房开字(2014)345号,深圳市规划和国土资源委员会
中海宝松物业发展（深圳）有限公司,777166368,深房开字(2014)346号,深圳市规划和国土资源委员会
鼎太风华房地产开发(深圳)有限公司,754285225,深房开字(2014)347号,深圳市规划和国土资源委员会
深圳市瑞荣达实业有限公司,71526760-6,深房开字(2014)348号,深圳市规划和国土资源委员会
深圳市宝盛实业有限公司,19247474-4,深房开字(2014)349号,深圳市规划和国土资源委员会
深圳拓万房地产开发有限公司,618935561,深房开字(2014)350号,深圳市规划和国土资源委员会
深圳市中洲房地产有限公司,279308415,深房开字(2014)351号,深圳市规划和国土资源委员会
深圳市光明集团有限公司,19247440-2,深房开字(2014)352号,深圳市规划和国土资源委员会
深圳中核集团有限公司,192211776,深房开字(2014)353号,深圳市规划和国土资源委员会
深圳市湖贝实业股份有限公司,192310563,深房开字(2014)354号,深圳市规划和国土资源委员会
深圳兴辽实业有限公司,192252877,深房开字(2014)355号,深圳市规划和国土资源委员会
深圳市东华实业（集团）有限公司,192189468,深房开字(2014)356号,深圳市规划和国土资源委员会
深圳市龙岗鸿基房地产开发有限公司,279523561,深房开字(2014)357号,深圳市规划和国土资源委员会
深圳市龙井实业股份有限公司,19220935-0,深房开字(2014)358号,深圳市规划和国土资源委员会
深圳市英龙置业有限公司,27941447-X,深房开字(2014)359号,深圳市规划和国土资源委员会
深圳市永长润实业有限公司,72470838-9,深房开字(2014)360号,深圳市规划和国土资源委员会
深圳市广森投资集团有限公司,279383730,深房开字(2014)361号,深圳市规划和国土资源委员会
北方工业深圳投资有限公司,75864174-1,深房开字(2014)362号,深圳市规划和国土资源委员会
深圳市建艺实业股份有限公司,192194689,深房开字(2014)363号,深圳市规划和国土资源委员会
深圳市安联投资有限公司,73626595X,深房开字(2014)364号,深圳市规划和国土资源委员会
深圳市鸿荣源实业有限公司,192466066,深房开字(2014)365号,深圳市规划和国土资源委员会
深圳市中海海景山庄物业发展有限公司,715239621,深房开字(2014)366号,深圳市规划和国土资源委员会
深联实业（深圳）有限公司,618921565,深房开字(2014)367号,深圳市规划和国土资源委员会
深圳市松茂房地产集团有限公司,19246601-5,深房开字(2014)368号,深圳市规划和国土资源委员会
深圳市盐田区城建集团有限公司,19218179X,深房开字(2014)369号,深圳市规划和国土资源委员会
今盛工程管理咨询（深圳）有限公司,72854912-7,深房开字(2014)370号,深圳市规划和国土资源委员会
深圳市天集开投资发展有限公司,74888078-1,深房开字(2014)371号,深圳市规划和国土资源委员会
深圳市大工业区（深圳出口加工区）开发管理集团有限公司,19243808-1,深房开字(2014)372号,深圳市规划和国土资源委员会
深圳市康年科技有限公司,79798917-7,深房开字(2014)373号,深圳市规划和国土资源委员会
深圳市琳珠园林有限公司,192318805,深房开字(2014)374号,深圳市规划和国土资源委员会
深圳市金地住宅开发有限公司,618939175,深房开字(2014)375号,深圳市规划和国土资源委员会
深圳市时代财富实业集团有限公司,708482746,深房开字(2014)376号,深圳市规划和国土资源委员会
深圳市运发集团股份有限公司,19218192-5,深房开字(2014)377号,深圳市规划和国土资源委员会
泰华房地产（中国）有限公司,618800405,深房开字(2014)378号,深圳市规划和国土资源委员会
深圳市物业房地产开发有限公司,192174565,深房开字(2014)379号,深圳市规划和国土资源委员会
深圳市华盛业投资有限公司,79389679-0,深房开字(2014)380号,深圳市规划和国土资源委员会
深圳市前海股份有限公司,192410927,深房开字(2014)381号,深圳市规划和国土资源委员会
深圳市万科九州房地产开发有限公司,07123904-6,深房开字(2014)382号,深圳市规划和国土资源委员会
深圳市林江房地产有限公司,708411921,深房开字(2014)383号,深圳市规划和国土资源委员会
深圳中海信和地产开发有限公司,760470582,深房开字(2014)384号,深圳市规划和国土资源委员会
深圳市光彩红投资控股有限公司,279538149,深房开字(2014)385号,深圳市规划和国土资源委员会
深圳市世之鼎实业有限公司,70846662-3,深房开字(2014)386号,深圳市规划和国土资源委员会
深圳博林集团有限公司,61892401-0,深房开字(2014)387号,深圳市规划和国土资源委员会
深圳市翔奥投资发展有限公司,731139217,深房开字(2014)388号,深圳市规划和国土资源委员会
深圳市粤国投资发展有限公司,192278663,深房开字(2014)389号,深圳市规划和国土资源委员会
深圳市宝发投资有限公司,618836029,深房开字(2014)390号,深圳市规划和国土资源委员会
深圳市坪宇物业发展有限公司,19248107-1,深房开字(2014)391号,深圳市规划和国土资源委员会
深圳市和诚鸿业投资发展有限公司,67296292-3,深房开字(2014)392号,深圳市规划和国土资源委员会
深圳市广盛荣投资有限公司,76199049-1,深房开字(2014)393号,深圳市规划和国土资源委员会
深圳市鸿翔实业有限公司,279337371,深房开字(2014)394号,深圳市规划和国土资源委员会
深圳市恒运泰控股集团有限公司,27946823-2,深房开字(2014)395号,深圳市规划和国土资源委员会
深圳市香江置业有限公司,79045468-X,深房开字(2014)396号,深圳市规划和国土资源委员会
深圳锦峰集团有限公司,192361088,深房开字(2014)397号,深圳市规划和国土资源委员会
深圳市华讯伟业房地产开发有限公司,750460241,深房开字(2014)398号,深圳市规划和国土资源委员会
深圳市康达尔（集团）房地产开发有限公司,192481848,深房开字(2014)399号,深圳市规划和国土资源委员会
深圳市泰富华投资发展有限公司,27939793X,深房开字(2014)400号,深圳市规划和国土资源委员会
深圳市中航华城置业发展有限公司,67669870-1,深房开字(2014)401号,深圳市规划和国土资源委员会
三科控股集团有限公司,27929333-X,深房开字(2014)402号,深圳市规划和国土资源委员会
深圳市联投置地有限公司,78924063-3,深房开字(2014)403号,深圳市规划和国土资源委员会
深圳市六和房地产开发有限公司,77164675-8,深房开字(2014)404号,深圳市规划和国土资源委员会
深圳恒安房地产开发有限公司,618842816,深房开字(2014)405号,深圳市规划和国土资源委员会
深圳市深宝实业股份有限公司,192180754,深房开字(2014)406号,深圳市规划和国土资源委员会
深圳市华兴广实业有限公司,19239123-6,深房开字(2014)407号,深圳市规划和国土资源委员会
深圳市金海港房地产开发有限公司,728576256,深房开字(2014)408号,深圳市规划和国土资源委员会
深圳市大冲实业股份有限公司,192410169,深房开字(2014)409号,深圳市规划和国土资源委员会
深圳市联城地产发展有限公司,618800472,深房开字(2014)410号,深圳市规划和国土资源委员会
杨富实业（深圳）有限公司,61880977-6,深房开字(2014)411号,深圳市规划和国土资源委员会
深圳市金利源投资发展有限公司,77273216-4,深房开字(2014)412号,深圳市规划和国土资源委员会
深圳市嘉福房地产开发有限公司,77414277-4,深房开字(2014)413号,深圳市规划和国土资源委员会
深圳市广海投资有限公司,734148661,深房开字(2014)414号,深圳市规划和国土资源委员会
深圳市田心实业股份有限公司,192310504,深房开字(2014)415号,深圳市规划和国土资源委员会
深圳中航城发展有限公司,192194005,深房开字(2014)416号,深圳市规划和国土资源委员会
深圳祥祺房地产开发有限公司,708407682,深房开字(2014)417号,深圳市规划和国土资源委员会
深圳市建信锋源实业有限公司,19219101-5,深房开字(2014)418号,深圳市规划和国土资源委员会
壹方置业（深圳）有限公司,78390483-0,深房开字(2014)419号,深圳市规划和国土资源委员会
深圳万骏房地产开发有限公司,792574298,深房开字(2014)420号,深圳市规划和国土资源委员会
深圳市屹海达投资有限公司,75763452-3,深房开字(2014)421号,深圳市规划和国土资源委员会
深圳市金鹏兴实业有限公司,74661297-8,深房开字(2014)422号,深圳市规划和国土资源委员会
深圳市中添威商贸有限公司,79386337-4,深房开字(2014)423号,深圳市规划和国土资源委员会
深圳市旺海怡康实业发展有限公司,19229249X,深房开字(2014)424号,深圳市规划和国土资源委员会
深圳市桑泰房地产开发有限公司,758638083,深房开字(2014)425号,深圳市规划和国土资源委员会
运泰建业置业（深圳）有限公司,66419183-1,深房开字(2014)426号,深圳市规划和国土资源委员会
深圳市李朗业兴实业有限公司,192480001,深房开字(2014)427号,深圳市规划和国土资源委员会
深圳市金安城投资发展有限公司,73628195-X,深房开字(2014)428号,深圳市规划和国土资源委员会
深圳市鹏城房地产开发有限公司,192176317,深房开字(2014)429号,深圳市规划和国土资源委员会
深圳市志健实业有限公司,279537656,深房开字(2014)430号,深圳市规划和国土资源委员会
深圳市汇泰实业有限公司,192195227,深房开字(2014)431号,深圳市规划和国土资源委员会
深圳市夏浦光电技术有限公司,78135948-8,深房开字(2014)432号,深圳市规划和国土资源委员会
深圳康发发展公司,192201375,深房开字(2014)433号,深圳市规划和国土资源委员会
深圳航天地产发展有限公司,741216300,深房开字(2014)434号,深圳市规划和国土资源委员会
深圳市泰富华天峦湖置业有限公司,06389482-2,深房开字(2014)435号,深圳市规划和国土资源委员会
深圳市长城物流有限公司,19219586-8,深房开字(2014)436号,深圳市规划和国土资源委员会
深圳市金华南巴士股份有限公司,19241064-4,深房开字(2014)437号,深圳市规划和国土资源委员会
深圳市恒祥基房地产开发建设有限公司,279522200,深房开字(2014)438号,深圳市规划和国土资源委员会
华润深圳湾发展有限公司,68378644-3,深房开字(2014)439号,深圳市规划和国土资源委员会
深圳市益田集团股份有限公司,19241575-2,深房开字(2014)440号,深圳市规划和国土资源委员会
深圳市津联泰投资有限公司,729844988,深房开字(2014)441号,深圳市规划和国土资源委员会
深圳市万鸿嘉投资发展有限公司,55032907-0,深房开字(2014)442号,深圳市规划和国土资源委员会
深圳市蛇口湾厦置业有限公司,12345678-9,深房开字(2014)443号,深圳市规划和国土资源委员会
深圳市超卓投资发展有限公司,750496797,深房开字(2014)444号,深圳市规划和国土资源委员会
深圳市富通房地产开发投资有限公司,279430840,深房开字(2014)445号,深圳市规划和国土资源委员会
深圳市宝鼎威物流有限公司,757646129,深房开字(2014)446号,深圳市规划和国土资源委员会
深圳市蓝湾房地产开发有限公司,192475587,深房开字(2014)447号,深圳市规划和国土资源委员会
深圳市厦村房地产开发有限公司,57312515-0,深房开字(2014)448号,深圳市规划和国土资源委员会
深圳市渔丰实业股份有限公司,19231080-3,深房开字(2014)449号,深圳市规划和国土资源委员会
深圳市观澜物业发展有限公司,192477873,深房开字(2014)450号,深圳市规划和国土资源委员会
深圳市百富隆新投资有限公司,279360504,深房开字(2014)451号,深圳市规划和国土资源委员会
深圳市津房物业发展有限公司,192359594,深房开字(2014)452号,深圳市规划和国土资源委员会
深圳市鹏润达投资发展有限公司,76198314-4,深房开字(2014)453号,深圳市规划和国土资源委员会
深圳天安骏业投资发展有限公司,55989697-9,深房开字(2014)454号,深圳市规划和国土资源委员会
深圳市荣津实业集团有限公司,19241691-5,深房开字(2014)455号,深圳市规划和国土资源委员会
深圳宏达房地产开发有限公司,7852897-3,深房开字(2014)456号,深圳市规划和国土资源委员会
深圳市旭道房地产开发有限公司,70845231X,深房开字(2014)457号,深圳市规划和国土资源委员会
信和（深圳）实业发展有限公司,618864767,深房开字(2014)458号,深圳市规划和国土资源委员会
雄伟房地产开发（深圳）有限公司,76916022-2,深房开字(2014)459号,深圳市规划和国土资源委员会
深圳桑达电子集团有限公司,19217499-5,深房开字(2014)460号,深圳市规划和国土资源委员会
深圳市旭飞实业有限公司,279416002,深房开字(2014)461号,深圳市规划和国土资源委员会
振宇物业发展（深圳）有限公司,769168224,深房开字(2014)462号,深圳市规划和国土资源委员会
深圳市罗兰斯宝物业发展有限公司,19233125X,深房开字(2014)463号,深圳市规划和国土资源委员会
深圳市利丰房地产开发有限公司,27952226X,深房开字(2014)464号,深圳市规划和国土资源委员会
深圳市联合建业投资发展有限公司,74886367-4,深房开字(2014)465号,深圳市规划和国土资源委员会
深圳市圳宝实业有限公司,19218944-1,深房开字(2014)466号,深圳市规划和国土资源委员会
深圳市朗钜实业集团有限公司,192421052,深房开字(2014)467号,深圳市规划和国土资源委员会
中国长安汽车集团深圳投资有限公司,57637418-7,深房开字(2014)468号,深圳市规划和国土资源委员会
深圳市光明房地产开发公司,192486083,深房开字(2014)469号,深圳市规划和国土资源委员会
深圳市海岸投资集团有限公司,192366241,深房开字(2014)470号,深圳市规划和国土资源委员会
新旺实业发展（深圳）有限公司,73627261-5,深房开字(2014)471号,深圳市规划和国土资源委员会
深圳泛亚房地产开发有限公司,78657265-9,深房开字(2014)472号,深圳市规划和国土资源委员会
深圳万泽碧轩房地产开发有限公司,279530884,深房开字(2014)473号,深圳市规划和国土资源委员会
深圳市恒豪实业有限公司,72856646-1,深房开字(2014)474号,深圳市规划和国土资源委员会
深圳市中亿集投资发展有限公司,192457610,深房开字(2014)475号,深圳市规划和国土资源委员会
深圳市合正锦湖投资有限公司,77162038X,深房开字(2014)476号,深圳市规划和国土资源委员会
深圳市鹏润达置业集团有限公司,19230591-6,深房开字(2014)477号,深圳市规划和国土资源委员会
深圳市鸿景翠峰房地产开发有限公司,760475113,深房开字(2014)478号,深圳市规划和国土资源委员会
深圳富霖房地产开发有限公司,618829830,深房开字(2014)479号,深圳市规划和国土资源委员会
佳峰房地产开发（深圳）有限公司,61892314-9,深房开字(2014)480号,深圳市规划和国土资源委员会
深圳市港城豪庭实业发展有限公司,619290996,深房开字(2014)481号,深圳市规划和国土资源委员会
深圳市卓越康达贸易有限公司,55988543-6,深房开字(2014)482号,深圳市规划和国土资源委员会
深圳市锦新明集团有限公司,27934255X,深房开字(2014)483号,深圳市规划和国土资源委员会
深圳市博林房地产开发有限公司,75761342-3,深房开字(2014)484号,深圳市规划和国土资源委员会
深圳市国野股份有限公司,279421741,深房开字(2014)485号,深圳市规划和国土资源委员会
深圳市华熙房地产有限公司,279344993,深房开字(2014)486号,深圳市规划和国土资源委员会
深圳市弘都投资有限公司,736285539,深房开字(2014)487号,深圳市规划和国土资源委员会
深圳市颂德房地产开发有限公司,56278900-7,深房开字(2014)488号,深圳市规划和国土资源委员会
深圳市莲塘房地产开发有限公司,192310520,深房开字(2014)489号,深圳市规划和国土资源委员会
深圳市恒地投资有限公司,69905256-7,深房开字(2014)490号,深圳市规划和国土资源委员会
深圳市正中房地产开发有限公司,734150980,深房开字(2014)491号,深圳市规划和国土资源委员会
深圳中海投资管理有限公司,19220796-1,深房开字(2014)492号,深圳市规划和国土资源委员会
深圳市东部实业股份有限公司,192173343,深房开字(2014)493号,深圳市规划和国土资源委员会
深圳市维时科技实业发展有限公司,279303286,深房开字(2014)494号,深圳市规划和国土资源委员会
深圳市生良房地产开发有限公司,65234879-1,深房开字(2014)495号,深圳市规划和国土资源委员会
深圳市锦年基础工程有限公司,58673785-0,深房开字(2014)496号,深圳市规划和国土资源委员会
深圳市天健龙岗房地产开发有限公司,279525110,深房开字(2014)497号,深圳市规划和国土资源委员会
深圳市东海成房地产开发有限公司,792552283,深房开字(2014)498号,深圳市规划和国土资源委员会
深圳市龙华海荣实业有限公司,279580427,深房开字(2014)499号,深圳市规划和国土资源委员会
深圳市鹏广达广场商业发展有限公司,59071606-7,深房开字(2014)500号,深圳市规划和国土资源委员会
深圳市中云投资发展有限公司,55213061-2,深房开字(2014)501号,深圳市规划和国土资源委员会
深圳市星都置业有限公司,19218836-9,深房开字(2014)502号,深圳市规划和国土资源委员会
深圳市建业房地产开发有限公司,192196377,深房开字(2014)503号,深圳市规划和国土资源委员会
深圳市龙志投资发展有限公司,66267085-5,深房开字(2014)504号,深圳市规划和国土资源委员会
深圳市优胜美地房地产开发有限公司,775563343,深房开字(2014)505号,深圳市规划和国土资源委员会
深圳市世纪汇鑫实业集团有限公司,192446233,深房开字(2014)506号,深圳市规划和国土资源委员会
深圳市汉森房地产开发有限公司,79796764-8,深房开字(2014)507号,深圳市规划和国土资源委员会
深圳市泉堂实业发展有限公司,76756488-0,深房开字(2014)508号,深圳市规划和国土资源委员会
深圳豫盛投资发展有限公司,781363380,深房开字(2014)509号,深圳市规划和国土资源委员会
深圳市京武房地产开发有限公司,192261642,深房开字(2014)510号,深圳市规划和国土资源委员会
深圳雅宝房地产开发有限公司,61883653-9,深房开字(2014)511号,深圳市规划和国土资源委员会
江胜房地产开发（深圳）有限公司,715245933,深房开字(2014)512号,深圳市规划和国土资源委员会
深圳市广田置业有限公司,27945122X,深房开字(2014)513号,深圳市规划和国土资源委员会
深圳市金地大百汇房地产开发有限公司,78831624-5,深房开字(2014)514号,深圳市规划和国土资源委员会
深圳市明泰润投资发展有限公司,77164959-6,深房开字(2014)515号,深圳市规划和国土资源委员会
深圳市厚华投资有限公司,75252654-X,深房开字(2014)516号,深圳市规划和国土资源委员会
深圳麓园房地产开发有限公司,55388332-5,深房开字(2014)517号,深圳市规划和国土资源委员会
深圳市信旺房地产开发有限公司,69557856-1,深房开字(2014)518号,深圳市规划和国土资源委员会
深圳湾游艇会有限公司,61893084-0,深房开字(2014)519号,深圳市规划和国土资源委员会
鸿硕房地产开发（深圳）有限公司,618914146,深房开字(2014)520号,深圳市规划和国土资源委员会
深圳市下水径投资有限公司,57004014-3,深房开字(2014)521号,深圳市规划和国土资源委员会
深圳市金地新城房地产开发有限公司,66101632-5,深房开字(2014)522号,深圳市规划和国土资源委员会
深圳市博厚实业有限公司,279407130,深房开字(2014)523号,深圳市规划和国土资源委员会
深圳桑达房地产开发有限公司,192185176,深房开字(2014)524号,深圳市规划和国土资源委员会
深圳市大康投资集团有限公司,75252411-4,深房开字(2014)525号,深圳市规划和国土资源委员会
深圳市福盈置地控股有限公司,56854915-1,深房开字(2014)526号,深圳市规划和国土资源委员会
深圳市雨霖投资有限公司,279445778,深房开字(2014)527号,深圳市规划和国土资源委员会
深圳市华佳业房地产开发有限公司,78920731-5,深房开字(2014)528号,深圳市规划和国土资源委员会
深圳市天悦房地产开发有限公司,19217563-X,深房开字(2014)529号,深圳市规划和国土资源委员会
深圳市桃花园置业有限公司,59676162-7,深房开字(2014)530号,深圳市规划和国土资源委员会
深圳市景诚园投资有限公司,75250323-3,深房开字(2014)531号,深圳市规划和国土资源委员会
深圳市曦湾名苑地产有限公司,55986423-x,深房开字(2014)532号,深圳市规划和国土资源委员会
中海月朗苑物业发展（深圳）有限公司,757636684,深房开字(2014)533号,深圳市规划和国土资源委员会
深圳市西湖股份有限公司,19217923-5,深房开字(2014)534号,深圳市规划和国土资源委员会
深圳市恒江地产开发有限公司,79049158-7,深房开字(2014)535号,深圳市规划和国土资源委员会
深圳市知本投资集团有限公司,279324984,深房开字(2014)536号,深圳市规划和国土资源委员会
深圳市坚得利实业有限公司,70847209-7,深房开字(2014)537号,深圳市规划和国土资源委员会
深圳市卓越康合投资发展有限公司,57314879-0,深房开字(2014)538号,深圳市规划和国土资源委员会
深圳市金光华地产开发有限公司,74123080-7,深房开字(2014)539号,深圳市规划和国土资源委员会
深圳市鑫业投资有限公司,73880444-3,深房开字(2014)540号,深圳市规划和国土资源委员会
深圳市德涵投资发展有限公司,27939117-5,深房开字(2014)541号,深圳市规划和国土资源委员会
如鸿实业（深圳）有限公司,618935502,深房开字(2014)542号,深圳市规划和国土资源委员会
深圳市富基投资集团有限公司,73418884-X,深房开字(2014)543号,深圳市规划和国土资源委员会
深圳市诚品地产有限公司,68755788-3,深房开字(2014)544号,深圳市规划和国土资源委员会
深圳市大族基业房地产开发有限公司,79796424-4,深房开字(2014)545号,深圳市规划和国土资源委员会
深圳亘富投资有限公司,27931633-5,深房开字(2014)546号,深圳市规划和国土资源委员会
深圳厦飞龙置业发展有限公司,708478683,深房开字(2014)547号,深圳市规划和国土资源委员会
深圳市龙岗佳兆业房地产开发有限公司,79543503-1,深房开字(2014)548号,深圳市规划和国土资源委员会
深圳市银浩实业有限公司,192435198,深房开字(2014)549号,深圳市规划和国土资源委员会
深圳市银台实业集团有限公司,279298018,深房开字(2014)550号,深圳市规划和国土资源委员会
中建蛇口发展有限公司,61880801X,深房开字(2014)551号,深圳市规划和国土资源委员会
和黄地产（深圳宝安）有限公司,728545230,深房开字(2014)552号,深圳市规划和国土资源委员会
深圳市鑫地置业有限公司,56151116-9,深房开字(2014)553号,深圳市规划和国土资源委员会
深圳市昌盛投资发展有限公司,19234067-4,深房开字(2014)554号,深圳市规划和国土资源委员会
深圳市鲤鱼门投资发展有限公司,59186019-1,深房开字(2014)555号,深圳市规划和国土资源委员会
深圳华逸园房地产开发有限公司,731131602,深房开字(2014)556号,深圳市规划和国土资源委员会
深圳市鹏锦生投资发展有限公司,279324888,深房开字(2014)557号,深圳市规划和国土资源委员会
深圳荣超实业有限公司,761982598,深房开字(2014)558号,深圳市规划和国土资源委员会
深圳市佳昌业投资有限公司,72302771-7,深房开字(2014)559号,深圳市规划和国土资源委员会
深圳市恒裕实业（集团）有限公司,19219445-1,深房开字(2014)560号,深圳市规划和国土资源委员会
深圳市粤长辉实业发展有限公司,279260423,深房开字(2014)561号,深圳市规划和国土资源委员会
深圳市秋铭投资发展有限公司,05511192-0,深房开字(2014)562号,深圳市规划和国土资源委员会
深圳市天耀投资发展有限公司,55866701-5,深房开字(2014)563号,深圳市规划和国土资源委员会
深圳市大业房地产开发有限公司,797961051,深房开字(2014)564号,深圳市规划和国土资源委员会
深圳市佳家豪投资发展有限公司,192276035,深房开字(2014)565号,深圳市规划和国土资源委员会
深圳市创城投资有限公司,78923761-0,深房开字(2014)566号,深圳市规划和国土资源委员会
深圳市祥盛房地产开发有限公司,55541641-3,深房开字(2014)567号,深圳市规划和国土资源委员会
深圳市禾田居投资发展有限公司,77160159-2,深房开字(2014)568号,深圳市规划和国土资源委员会
深圳市清水河实业有限公司,192192325,深房开字(2014)569号,深圳市规划和国土资源委员会
深圳信德丰房地产有限公司,618922592,深房开字(2014)570号,深圳市规划和国土资源委员会
深圳海王集团股份有限公司,192214061,深房开字(2014)571号,深圳市规划和国土资源委员会
深圳市绿色满庭芳实业发展有限公司,75045109,深房开字(2014)572号,深圳市规划和国土资源委员会
运泰实业（深圳）有限公司,618843413,深房开字(2014)573号,深圳市规划和国土资源委员会
深圳市华园房地产开发有限公司,279523596,深房开字(2014)574号,深圳市规划和国土资源委员会
深圳市宝安石鸿工贸有限公司,19248765-X,深房开字(2014)575号,深圳市规划和国土资源委员会
深圳万庭房地产开发有限公司,79258175-4,深房开字(2014)576号,深圳市规划和国土资源委员会
深圳市金地源房地产开发有限公司,78921710X,深房开字(2014)577号,深圳市规划和国土资源委员会
深圳市霖梓投资发展有限公司,74322490-2,深房开字(2014)578号,深圳市规划和国土资源委员会
深圳市天勤房地产开发有限公司,715251137,深房开字(2014)579号,深圳市规划和国土资源委员会
深圳市雄江投资发展有限公司,708498721,深房开字(2014)580号,深圳市规划和国土资源委员会
深圳市万泽房地产开发集团有限公司,76497792-X,深房开字(2014)581号,深圳市规划和国土资源委员会
深圳市骏泰房地产开发有限公司,66269457-4,深房开字(2014)582号,深圳市规划和国土资源委员会
深圳市美地置业发展有限公司,279341928,深房开字(2014)583号,深圳市规划和国土资源委员会
深圳市天地（集团）股份有限公司,192192827,深房开字(2014)584号,深圳市规划和国土资源委员会
深圳深国投房地产开发有限公司,618932205,深房开字(2014)585号,深圳市规划和国土资源委员会
深圳市湖润房地产开发有限公司,55033618-2,深房开字(2014)586号,深圳市规划和国土资源委员会
深圳市龙盛豪庭投资有限公司,56707067-5,深房开字(2014)587号,深圳市规划和国土资源委员会
